计数,名称,内容,位置 X,位置 Y,位置 Z,直径,中心 X,中心 Y,中心 Z
1,圆,,,,,10.0349,11998.7712,5012.1397,0.0000
1,圆,,,,,17.4008,11998.7063,5012.1565,0.0000
1,圆,,,,,10.0349,12056.9294,5435.0797,0.0000
1,圆,,,,,17.4008,12056.8645,5435.0965,0.0000
1,圆,,,,,10.0349,12067.6529,5234.9915,0.0000
1,圆,,,,,17.4008,12067.5880,5235.0083,0.0000
1,圆,,,,,17.4008,12010.7248,4789.8772,0.0000
1,圆,,,,,17.4008,12140.0086,3510.1653,0.0000
1,圆,,,,,10.0349,12123.6246,3989.6399,0.0000
1,圆,,,,,17.4008,12209.3906,3111.9390,0.0000
1,圆,,,,,10.0349,12140.0735,3510.1485,0.0000
1,圆,,,,,17.4008,12073.1516,4401.9401,0.0000
1,圆,,,,,10.0349,12010.7897,4789.8604,0.0000
1,圆,,,,,17.4008,12123.5597,3989.6567,0.0000
1,圆,,,,,10.0349,12073.2165,4401.9233,0.0000
1,圆,,,,,17.4008,12356.4524,4443.0259,0.0000
1,圆,,,,,10.0349,12236.6489,5381.3811,0.0000
1,圆,,,,,17.4008,12282.0069,3379.6650,0.0000
1,圆,,,,,10.0349,12356.5174,4443.0091,0.0000
1,圆,,,,,17.4008,12385.7638,5505.8813,0.0000
1,圆,,,,,10.0349,12944.3685,1667.4550,0.0000
1,圆,,,,,17.4008,12236.5839,5381.3979,0.0000
1,圆,,,,,10.0349,12385.8288,5505.8646,0.0000
1,圆,,,,,10.0349,12282.0718,3379.6482,0.0000
1,圆,,,,,10.0349,12132.5288,5689.2986,0.0000
1,圆,,,,,17.4008,12132.4639,5689.3154,0.0000
1,圆,,,,,10.0349,12116.6814,5555.4119,0.0000
1,圆,,,,,17.4008,12116.6165,5555.4286,0.0000
1,圆,,,,,10.0349,12120.3745,5880.4195,0.0000
1,圆,,,,,17.4008,12120.3095,5880.4362,0.0000
1,圆,,,,,10.0349,12121.7991,5848.4649,0.0000
1,圆,,,,,17.4008,12121.7342,5848.4817,0.0000
1,圆,,,,,10.0349,14125.4784,5638.1342,0.0000
1,圆,,,,,17.4008,14125.4134,5638.1510,0.0000
1,圆,,,,,10.0349,14126.8529,5214.9403,0.0000
1,圆,,,,,17.4008,14126.7879,5214.9571,0.0000
1,圆,,,,,10.0349,14469.6523,2514.5669,0.0000
1,圆,,,,,17.4008,14469.5874,2514.5837,0.0000
1,圆,,,,,10.0349,14438.9512,2076.1802,0.0000
1,圆,,,,,17.4008,14438.8863,2076.1970,0.0000
1,圆,,,,,17.4008,14145.3318,4925.9691,0.0000
1,圆,,,,,17.4008,14188.7089,3963.5738,0.0000
1,圆,,,,,10.0349,14173.7005,4420.0102,0.0000
1,圆,,,,,17.4008,14229.6459,3184.2507,0.0000
1,圆,,,,,10.0349,14188.7738,3963.5570,0.0000
1,圆,,,,,17.4008,14156.2504,4774.5627,0.0000
1,圆,,,,,10.0349,14145.3967,4925.9523,0.0000
1,圆,,,,,17.4008,14173.6356,4420.0270,0.0000
1,圆,,,,,10.0349,14156.3154,4774.5459,0.0000
1,圆,,,,,17.4008,14604.0890,4987.7741,0.0000
1,圆,,,,,10.0349,14605.9767,5277.3760,0.0000
1,圆,,,,,17.4008,14602.2767,4739.8923,0.0000
1,圆,,,,,10.0349,14604.1540,4987.7573,0.0000
1,圆,,,,,17.4008,14584.7562,5646.7444,0.0000
