,PositionX,PositionY,depth
96,12131.7661,5689.5991,-156.15
97,12121.4995,5849.6373,-177.52
98,12655.2853,3835.7923,-822.50
99,12670.7065,4138.7717,-771.22
100,12932.1521,1644.2754,-530.95
101,12652.5737,3480.711,-870.78
102,10662.3862,4501.1785,-542.38
103,10618.6803,5207.2104,-374.53
104,10658.1207,3734.785,-657.73
105,10643.0795,3986.3541,-625.49
106,10846.9201,5585.5548,-289.89
107,10991.0875,5625.0358,-278.07
108,11001.56,5437.996,-306.66
109,10981.6972,5548.1479,-306.66
110,10664.8122,3460.2759,-675.46
111,10448.3017,3927.2293,-602.92
112,10316.5613,4018.2745,-573.15
113,10091.1951,5141.4164,-339.44
114,10125.1897,5463.4938,-325.60
115,10721.6886,2498.9961,-816.54
116,10691.4427,2980.7336,-741.33
117,10502.1829,5524.9807,-319.15
118,10477.2281,5636.8109,-310.56
119,11870.6171,1697.9832,-366.68
120,11714.448,2839.0299,-817.78
121,11381.341,5658.1178,-274.14
122,11381.7009,5764.9093,-274.79
123,11586.2604,3677.3376,-740.97
124,11634.1561,3974.9656,-740.97
125,11618.7025,3362.9301,-777.47
126,12053.1956,5438.0698,-245.82
127,11391.181,5461.8423,-339.55
128,11148.9908,3696.2227,-705.92
129,11110.8471,4284.5735,-623.70
130,11186.745,3139.1559,-753.82
131,11175.5796,3374.2395,-731.08
132,11137.5293,5596.4285,-288.01
133,11136.5137,5649.8545,-278.07
134,11127.6413,5162.5956,-445.95
135,11128.5285,5309.9676,-384.26
136,5502.3756,5827.674,-117.85
137,5570.169,3605.7875,-340.87
138,5113.2407,4150.7826,-285.65
139,5560.1048,2923.6497,-453.99
140,6017.2461,3080.9717,-468.01
141,6065.2328,3596.9004,-404.03
142,5614.1213,4108.113,-317.52
143,4864.7658,4429.9169,-294.23
144,4625.3061,4696.1427,-265.28
145,3608.0331,4270.1486,-202.21
146,7333.9852,1879.8686,-442.26
147,4544.2219,2700.2507,-257.02
148,7919.6909,1929.8311,-605.15
149,4590.5958,4200.8368,-260.38
150,4539.2974,3192.4721,-311.83
151,4539.2921,2943.1107,-305.08
152,4553.8236,3701.9119,-271.22
153,5650.2371,5152.8269,-280.07
154,5251.1837,5587.1563,-124.03
155,6105.9846,4630.9437,-333.25
156,5873.9889,4868.5181,-322.77
157,5880.4221,5419.9931,-274.17
158,5668.508,5639.1632,-195.48
159,6354.1615,4830.0884,-364.85
160,6126.3456,5141.1778,-331.39
161,4941.7911,5403.5642,-164.02
162,4640.2658,5209.0959,-184.33
163,4419.6019,5477.8667,-109.04
164,5410.6675,4365.3886,-295.51
165,5148.6076,4669.0763,-300.25
166,5629.1397,4637.9079,-307.62
167,5154.9187,5184.4934,-164.02
168,4163.689,5766.9811,-109.04
169,6053.0253,4113.7601,-374.97
170,14616.5958,4436.7513,-660.58
171,13154.5255,4782.4663,-432.10
172,14255.4253,3271.2575,-985.47
173,14165.9763,3965.6828,-758.79
174,13649.1196,4708.6589,-465.70
175,13813.8066,5612.091,-194.83
176,14134.792,4932.2894,-391.94
177,14126.9772,5218.7505,-316.61
178,14173.1192,4455.5993,-605.20
179,14157.9748,4776.2239,-475.20
180,13700.242,4301.0145,-649.92
181,13133.6527,5664.0944,-159.58
182,13559.643,1904.2552,-605.26
183,13119.0463,5218.1677,-292.83
184,13121.9488,5454.4884,-228.43
185,13800.1633,3631.3869,-917.02
186,13768.5852,3940.7473,-774.03
187,13413.0752,2864.1993,-981.63
188,13879.2881,1711.8024,-638.69
189,14586.6567,4250.1332,-697.04
190,14608.6717,4996.1743,-434.13
191,14121.9422,5639.7717,-210.86
192,14359.2671,5843.045,-183.54
193,14612.9628,5278.8023,-345.70
194,14588.9412,5641.6648,-218.41
